2019-10-22 09:03:21.614 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-3] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Restarting Consumer@45a6d9a9: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0
2019-10-22 09:04:00.337 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.337 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.338 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.338 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.338 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.338 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.338 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.338 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.338 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.338 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.338 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.339 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.339 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.339 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
2019-10-22 09:04:00.339 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - End Scan Customs Xml Files...
2019-10-22 09:04:00.339 [file-schedule-scan-pool-1] INFO  cn.samples.depot.web.DepotWebCzApplication - Start Scan Customs Xml Files...
